section_id,fdd_id,identified_item_number,identified_header_text,start_page,end_page
62,237,11,"ITEM 11. Franchisor's Assistance, Advertising, Computer Systems and Training",26,32
63,237,12,ITEM 12. Territory,35,36
64,237,13,ITEM 13. Trademarks,36,37
65,237,14,"ITEM 14. Patents, Copyrights and Proprietary Information",37,38
66,237,15,ITEM 15. Obligation To Participate In The Actual Operation Of The Franchise Business,38,39
67,237,16,ITEM 16. Restrictions On What The Franchisee May Sell,39,39
68,237,17,"ITEM 17. Renewal, Termination, Transfer And Dispute Resolution",39,44
69,237,18,ITEM 18. Public Figures,44,44
70,237,19,ITEM 19. Financial Performance Representations,44,45
71,237,20,ITEM 20. List Of Outlets,46,48
72,237,21,ITEM 21. Financial Statements,48,48
73,237,22,ITEM 22. Contracts,48,48
74,237,23,ITEM 23. Receipt,49,49
75,293,1,"ITEM 1. THE FRANCHISOR, AND ANY PARENTS, PREDECESSORS, AND ITS AFFILIATES",9,11
76,293,2,ITEM 2. BUSINESS EXPERIENCE,11,13
77,293,3,ITEM 3. LITIGATION,13,13
78,293,4,ITEM 4. BANKRUPTCY,13,13
79,293,5,ITEM 5. INITIAL FEES,14,16
80,293,6,ITEM 6. OTHER FEES,16,25
81,293,7,ITEM 7. INITIAL INVESTMENT,25,32
82,293,8,ITEM 8. RESTRICTIONS ON SOURCES OF PRODUCTS AND SERVICES,32,36
83,293,9,ITEM 9. FRANCHISEEâS OBLIGATIONS,36,38
84,293,10,ITEM 10. FINANCING,38,39
85,293,11,"ITEM 11. FRANCHISORâS ASSISTANCE, ADVERTISING, COMPUTER SYSTEMS AND TRAINING",39,51
86,293,12,ITEM 12. TERRITORY,51,53
87,293,13,ITEM 13. TRADEMARKS,53,54
88,293,14,"ITEM 14. PATENTS, COPYRIGHTS AND PROPRIETARY INFORMATION",55,55
89,293,15,ITEM 15. OBLIGATION TO PARTICIPATE IN THE ACTUAL OPERATION OF THE FRANCHISE BUSINESS,55,57
90,293,16,ITEM 16. RESTRICTIONS ON WHAT THE FRANCHISEE MAY SELL,57,57
91,293,17,"ITEM 17. RENEWAL, TERMINATION, TRANSFER AND DISPUTE RESOLUTION",57,60
92,293,18,ITEM 18. PUBLIC FIGURES,60,60
93,293,19,ITEM 19. FINANCIAL PERFORMANCE REPRESENTATIONS,60,62
94,293,20,ITEM 20. OUTLETS AND FRANCHISEE INFORMATION,62,74
95,293,21,ITEM 21. FINANCIAL STATEMENTS,74,81
96,293,22,ITEM 22. CONTRACTS,81,81
97,293,23,ITEM 23. RECEIPTS,82,82
98,420,1,"ITEM 1. THE FRANCHISOR, AND ANY PARENTS, PREDECESSORS AND AFFILIATES",7,11
99,420,2,ITEM 2. BUSINESS EXPERIENCE,11,11
100,420,3,ITEM 3. LITIGATION,11,11
101,420,4,ITEM 4. BANKRUPTCY,11,11
102,420,5,ITEM 5. INITIAL FEES,12,12
103,420,6,ITEM 6. OTHER FEES,12,15
104,420,7,ITEM 7. INITIAL INVESTMENT,17,20
105,420,8,ITEM 8. RESTRICTIONS ON SOURCES OF PRODUCTS AND SERVICES,20,24
106,420,9,ITEM 9. FRANCHISEE'S OBLIGATIONS,24,25
107,420,10,ITEM 10. FINANCING,25,25
108,420,11,"ITEM 11. FRANCHISOR'S ASSISTANCE, ADVERTISING, COMPUTER SYSTEMS & TRAINING",25,37
109,420,12,ITEM 12. TERRITORY,37,39
110,420,13,ITEM 13. TRADEMARKS,39,41
111,420,14,"ITEM 14.PATENTS, COPYRIGHTS AND PROPRIETARY INFORMATION",41,42
112,420,15,ITEM 15.OBLIGATION TO PARTICIPATE IN THE ACTUAL OPERATIONOF THE FRANCHISE BUSINESS,42,44
113,420,16,ITEM 16. RESTRICTIONS ON WHAT THE FRANCHISE MAY SELL,44,45
114,420,17,"ITEM 17. RENEWAL, TERMINATION, TRANSFER, AND DISPUTE RESOLUTION",45,49
115,420,18,ITEM 18. PUBLIC FIGURES,49,49
116,420,19,ITEM 19. FINANCIAL PERFORMANCE REPRESENTATIONS,49,49
117,420,20,ITEM 20. OUTLETS AND FRANCHISEE INFORMATION,49,58
118,420,21,ITEM 21. FINANCIAL STATEMENTS,58,58
119,420,22,ITEM 22. CONTRACTS,58,58
120,420,23,ITEM 23. RECEIPTS,58,58
121,780,1,"ITEM 1. The Franchisor, its Predecessors, and its Affiliates",8,9
122,780,2,ITEM 2. Business Experience,10,10
123,780,3,ITEM 3. Litigation,10,10
124,780,4,ITEM 4. Bankruptcy,10,10
125,780,5,ITEM 5. Initial Franchise Fee,10,11
126,780,6,ITEM 6. Other Fees,11,14
127,780,7,ITEM 7. Initial Investment,15,17
128,780,8,ITEM 8. Restrictions On Sources Of Products And Services,18,20
129,780,9,ITEM 9. Franchisee's Obligations,20,22
130,780,10,ITEM 10. Financing,22,22
131,780,11,ITEM 11. Franchisor's Obligations,22,26
132,780,12,ITEM 12. Territory,30,31
133,780,13,ITEM 13. Trademarks,31,33
134,780,14,"ITEM 14. Patents, Copyrights and Proprietary Information",33,34
135,780,15,ITEM 15. Obligation To Participate In The Actual Operation Of The Franchise Business,34,35
136,780,16,ITEM 16. Restrictions On What The Franchisee May Sell,35,35
137,780,17,"ITEM 17. Renewal, Termination, Transfer And Dispute Resolution",35,39
138,780,18,ITEM 18. Public Figures,39,39
139,780,19,ITEM 19. Financial Performance Representations,39,41
140,780,20,ITEM 20. List Of Outlets,42,44
141,780,21,ITEM 21. Financial Statements,44,45
142,780,22,ITEM 22. Contracts,45,45
143,780,23,ITEM 23. Receipt,45,45
144,258,1,"ITEM 1. The Franchisor, its Predecessors, and its Affiliates",9,10
145,258,2,ITEM 2. Business Experience,10,11
146,258,3,ITEM 3. Litigation,11,13
147,258,4,ITEM 4. Bankruptcy,13,13
148,258,5,ITEM 5. Initial Franchise Fee,13,15
149,258,6,ITEM 6. Other Fees,15,17
150,258,7,ITEM 7. Initial Investment,18,22
151,258,8,ITEM 8. Restrictions On Sources Of Products And Services,23,27
152,258,9,ITEM 9. Franchisee's Obligations,28,29
153,258,10,ITEM 10. Financing,29,29
154,258,11,ITEM 11. Franchisor's Obligations,30,32
155,258,12,ITEM 12. Territory,35,37
156,258,13,ITEM 13. Trademarks,37,38
157,258,14,"ITEM 14. Patents, Copyrights and Proprietary Information",39,39
158,258,15,ITEM 15. Obligation To Participate In The Actual Operation Of The Franchise Business,39,40
159,258,16,ITEM 16. Restrictions On What The Franchisee May Sell,40,40
160,258,17,"ITEM 17. Renewal, Termination, Transfer And Dispute Resolution",40,46
161,258,18,ITEM 18. Public Figures,46,46
162,258,19,ITEM 19. Financial Performance Representations,46,47
163,258,20,ITEM 20. List Of Outlets,48,51
164,258,21,ITEM 21. Financial Statements,53,53
165,258,22,ITEM 22. Contracts,53,53
166,258,23,ITEM 23. Receipt,53,53
167,588,1,"ITEM 1. The Franchisor, its Predecessors, and its Affiliates",7,9
168,588,2,ITEM 2. Business Experience,9,9
169,588,3,ITEM 3. Litigation,9,10
170,588,4,ITEM 4. Bankruptcy,10,10
171,588,5,ITEM 5. Initial Franchise Fee,10,11
172,588,6,ITEM 6. Other Fees,11,14
173,588,7,ITEM 7. Initial Investment,15,17
174,588,8,ITEM 8. Restrictions On Sources Of Products And Services,17,20
175,588,9,ITEM 9. Franchisee's Obligations,20,22
176,588,10,ITEM 10. Financing,22,22
177,588,11,"ITEM 11. Franchisor's Assistance, Advertising, Computer Systems, And Training",22,28
178,588,12,ITEM 12. Territory,28,30
179,588,13,ITEM 13. Trademarks,30,32
180,588,14,"ITEM 14PATENTS, COPYRIGHTS AND PROPRIETARY INFORMATION",32,34
181,588,15,ITEM 15OBLIGATION TO PARTICIPATE IN THE ACTUAL OPERATION OF THEFRANCHISE BUSINESS,34,35
182,588,16,ITEM 16 RESTRICTIONS ON WHAT THE FRANCHISEE MAY SELL,35,35
183,588,17,"ITEM 17 RENEWAL, TERMINATION, TRANSFER, AND DISPUTE RESOLUTION",35,39
184,588,18,ITEM 18 PUBLIC FIGURES,39,39
185,588,19,ITEM 19 FINANCIAL PERFORMANCE REPRESENTATIONS,39,40
186,588,20,ITEM 20 OUTLETS AND FRANCHISEE INFORMATION,40,45
187,588,21,ITEM 21 FINANCIAL STATEMENTS,45,45
188,588,22,ITEM 22 CONTRACTS,45,45
189,588,23,ITEM 23 RECEIPTS,45,45
190,530,1,"ITEM 1. The Franchisor, its Predecessors, and its Affiliates",8,10
191,530,2,ITEM 2. Business Experience,10,11
192,530,3,ITEM 3. Litigation,11,11
193,530,4,ITEM 4. Bankruptcy,11,11
194,530,5,ITEM 5. Initial Franchise Fee,11,12
195,530,6,ITEM 6. Other Fees,12,16
196,530,7,ITEM 7. Initial Investment,16,18
197,530,8,ITEM 8. Restrictions On Sources Of Products And Services,19,22
198,530,9,ITEM 9. Franchisee's Obligations,22,24
199,530,10,ITEM 10. Financing,24,24
200,530,11,"ITEM 11. Franchisor's Assistance, Advertising, Computer Systems, and Training",24,33
201,530,12,ITEM 12. Territory,33,36
202,530,13,ITEM 13. Trademarks,36,40
203,530,14,"ITEM 14. Patents, Copyrights and Proprietary Information",40,41
204,530,15,ITEM 15. Obligation To Participate In The Actual Operation Of The Franchise Business,41,41
205,530,16,ITEM 16. Restrictions On What The Franchisee May Sell,41,42
206,530,17,"ITEM 17. Renewal, Termination, Transfer And Dispute Resolution",42,50
207,530,18,ITEM 18. Public Figures,50,50
208,530,19,ITEM 19. Financial Performance Representations,50,56
209,530,20,ITEM 20. List Of Outlets,57,61
210,530,21,ITEM 21. Financial Statements,61,61
211,530,22,ITEM 22. Contracts,61,62
212,530,23,ITEM 23. Receipt,62,62
213,1141,1,"ITEM 1. The Franchisor, its Predecessors, and its Affiliates",8,12
214,1141,2,ITEM 2. Business Experience,19,23
215,1141,3,ITEM 3. Litigation,23,30
216,1141,4,ITEM 4: Bankruptcy,30,30
217,1141,5,ITEM 5: Initial Franchise Fee,30,35
218,1141,6,ITEM 6: Other Fees,34,35
219,1141,7,ITEM 7: Estimated Initial Investment,42,47
220,1141,8,ITEM 8: Restrictions On Sources Of Products And Services,49,52
221,1141,9,ITEM 9: Franchisee's Obligations,52,54
222,1141,10,ITEM 10: Financing,54,54
223,1141,11,"ITEM 11: Franchisor's Assistance, Advertising, Computer Systems And Training",54,62
224,1141,12,ITEM 12: Territory,62,71
225,1141,13,ITEM 13: Trademarks,71,73
226,1141,14,"ITEM 14: Patents, Copyrights and Proprietary Information",73,74
227,1141,15,ITEM 15: Obligation To Participate In The Actual Operation Of The Franchise Business,74,75
228,1141,16,ITEM 16: Restrictions On What The Franchisee May Sell,75,75
229,1141,17,"ITEM 17: Renewal, Termination, Transfer And Dispute Resolution",69,81
230,1141,18,ITEM 18: Public Figures,81,81
231,1141,19,ITEM 19: Financial Performance Representations,74,85
232,1141,20,ITEM 20: List Of Outlets,88,88
233,1141,21,ITEM 21: Financial Statements,88,111
234,1141,22,ITEM 22: Contracts,104,111
235,1141,23,ITEM 23: Receipt,104,104
236,249,1,"ITEM 1. The Franchisor, its Predecessors, and its Affiliates",8,11
237,249,2,ITEM 2. Business Experience,11,13
238,249,3,ITEM 3. Litigation,13,13
239,249,4,ITEM 4. Bankruptcy,14,14
240,249,5,ITEM 5. Initial Franchise Fee,14,17
241,249,6,ITEM 6. Other Fees,17,21
242,249,7,ITEM 7. Initial Investment,25,31
243,249,8,ITEM 8. Restrictions On Sources Of Products And Services,31,34
244,249,9,ITEM 9. Franchisee's Obligations,34,36
245,249,10,ITEM 10. Financing,36,37
246,249,11,ITEM 11. Franchisor's Obligations,37,48
247,249,12,ITEM 12. Territory,48,52
248,249,13,ITEM 13. Trademarks,52,54
249,249,14,"ITEM 14. Patents, Copyrights and Proprietary Information",54,56
250,249,15,ITEM 15. Obligation To Participate In The Actual Operation Of The Franchise Business,56,58
251,249,16,ITEM 16. Restrictions On What The Franchisee May Sell,58,59
252,249,17,"ITEM 17. Renewal, Termination, Transfer And Dispute Resolution",59,67
253,249,18,ITEM 18. Public Figures,69,69
254,249,19,ITEM 19. Financial Performance Representations,69,75
255,249,20,ITEM 20. List Of Outlets,76,80
256,249,21,ITEM 21. Financial Statements,80,80
257,249,22,ITEM 22. Contracts,80,80
258,249,23,ITEM 23. Receipt,81,81
259,540,1,"ITEM 1 THE FRANCHISOR AND ANY PARENTS, PREDECESSORS AND AFFILIATES",5,6
260,540,2,ITEM 2 BUSINESS EXPERIENCE,7,7
261,540,3,ITEM 3 LITIGATION,7,7
262,540,4,ITEM 4 BANKRUPTCY,7,7
263,540,5,ITEM 5 INITIAL FEES,8,8
264,540,6,ITEM 6 OTHER FEES(1),9,12
265,540,7,ITEM 7 INITIAL INVESTMENT,13,17
266,540,8,ITEM 8 RESTRICTIONS ON SOURCES OF PRODUCTS AND SERVICES,18,23
267,540,9,ITEM 9 FRANCHISEEâS OBLIGATIONS,23,24
268,540,10,ITEM 10 FINANCING,24,24
269,540,11,"ITEM 11 FRANCHISORâS ASSISTANCE, ADVERTISING, COMPUTER SYSTEMS AND TRAINING",24,35
270,540,12,ITEM 12 TERRITORY,35,37
271,540,13,ITEM 13 TRADEMARKS,37,39
272,540,14,"ITEM 14 PATENTS, COPYRIGHTS, AND PROPRIETARY INFORMATION",39,40
273,540,15,ITEM 15 OBLIGATION TO PARTICIPATE IN THE ACTUAL OPERATION OF THE FRANCHISE BUSINESS,40,40
274,540,16,ITEM 16 RESTRICTIONS ON WHAT THE FRANCHISEE MAY SELL,40,41
275,540,17,"ITEM 17 RENEWAL, TERMINATION, TRANSFER, AND DISPUTE RESOLUTION",41,50
276,540,18,ITEM 18 PUBLIC FIGURES,50,50
277,540,19,ITEM 19 FINANCIAL PERFORMANCE REPRESENTATIONS,50,52
278,465,22,ITEM 22. Contracts,53,53
279,540,20,ITEM 20 OUTLETS AND FRANCHISEE INFORMATION,56,57
280,540,21,ITEM 21 FINANCIAL STATEMENTS,57,57
281,540,22,ITEM 22 CONTRACTS,57,57
282,540,23,ITEM 23 RECEIPTS,58,58
283,817,1,"ITEM 1. The Franchisor, its Predecessors, and its Affiliates",7,10
284,817,2,ITEM 2. Business Experience,11,12
285,817,3,ITEM 3. Litigation,12,12
286,817,4,ITEM 4. Bankruptcy,13,13
287,817,5,ITEM 5. Initial Franchise Fee,13,14
288,817,6,ITEM 6. Other Fees,14,18
289,817,7,ITEM 7. Initial Investment,19,22
290,817,8,ITEM 8. Restrictions On Sources Of Products And Services,23,27
291,817,9,ITEM 9. Franchisee's Obligations,28,30
292,817,10,ITEM 10. Financing,30,30
293,817,11,"ITEM 11. Franchisor's Assistance, Advertising, Computer Systems, And Training",30,39
294,817,12,ITEM 12. Territory,39,43
295,817,13,ITEM 13. Trademarks,43,45
296,817,14,"ITEM 14. Patents, Copyrights and Proprietary Information",45,46
297,817,15,ITEM 15. Obligation To Participate In The Actual Operation Of The Franchise Business,46,47
298,817,16,ITEM 16. Restrictions On What The Franchisee May Sell,47,48
299,817,17,"ITEM 17. Renewal, Termination, Transfer And Dispute Resolution",48,53
300,817,18,ITEM 18. Public Figures,58,58
301,817,19,ITEM 19. Financial Performance Representations,58,62
302,817,20,ITEM 20. List Of Outlets,62,68
303,817,21,ITEM 21. Financial Statements,69,69
304,817,22,ITEM 22. Contracts,69,69
305,817,23,ITEM 23. Receipt,69,69
306,600,1,"ITEM 1. The Franchisor, its Predecessors, and its Affiliates",7,9
307,600,2,ITEM 2. Business Experience,10,10
308,600,3,ITEM 3. Litigation,10,10
309,600,4,ITEM 4. Bankruptcy,10,10
310,600,5,ITEM 5. Initial Franchise Fee,11,12
311,600,6,ITEM 6. Other Fees,13,18
312,600,7,ITEM 7. Initial Investment,19,27
313,600,8,ITEM 8. Restrictions On Sources Of Products And Services,28,31
314,600,9,ITEM 9. Franchisee's Obligations,32,33
315,600,10,ITEM 10. Financing,34,35
316,600,11,"ITEM 11. Franchisor's Assistance, Advertising, Computer Systems And Training",35,42
317,600,12,ITEM 12. Territory,42,43
318,600,13,ITEM 13. Trademarks,44,45
319,600,14,"ITEM 14. Patents, Copyrights and Proprietary Information",45,45
320,600,15,ITEM 15. Obligation To Participate In The Actual Operation Of The Franchise Business,46,46
321,600,16,ITEM 16. Restrictions On What The Franchisee May Sell,46,46
322,600,17,"ITEM 17. Renewal, Termination, Transfer And Dispute Resolution",47,51
323,600,18,ITEM 18. Public Figures,54,54
324,600,19,ITEM 19. Financial Performance Representations,55,55
325,600,20,ITEM 20. List Of Outlets,56,57
326,600,21,ITEM 21. Financial Statements,64,64
327,600,22,ITEM 22. Contracts,64,64
328,600,23,ITEM 23. Receipt,65,65
329,513,1,"ITEM 1. The Franchisor, its Predecessors, and its Affiliates",5,6
330,513,2,ITEM 2. Business Experience,7,7
331,513,3,ITEM 3. Litigation,8,8
332,513,4,ITEM 4. Bankruptcy,8,8
333,513,5,ITEM 5. Initial Franchise Fee,8,9
334,513,6,ITEM 6. Other Fees,10,10
335,513,7,ITEM 7. Initial Investment,11,14
336,513,8,ITEM 8. Restrictions On Sources Of Products And Services,15,16
337,513,9,ITEM 9. Franchisee's Obligations,16,16
338,513,10,ITEM 10. Financing,17,17
339,513,11,ITEM 11. Franchisor's Obligations,17,22
340,513,12,ITEM 12. Territory,23,24
341,513,13,ITEM 13. Trademarks,24,26
342,513,14,"ITEM 14. Patents, Copyrights and Proprietary Information",27,27
343,513,15,ITEM 15. Obligation To Participate In The Actual Operation Of The Franchise Business,27,27
344,513,16,ITEM 16. Restrictions On What The Franchisee May Sell,27,27
345,513,17,"ITEM 17. Renewal, Termination, Transfer And Dispute Resolution",28,29
346,513,18,ITEM 18. Public Figures,29,29
347,513,19,ITEM 19. Financial Performance Representations,30,31
348,513,20,ITEM 20. List Of Outlets,31,40
349,513,21,ITEM 21. Financial Statements,41,41
350,513,22,ITEM 22. Contracts,41,41
351,513,23,ITEM 23. Receipt,41,41
352,765,1,"ITEM 1. The Franchisor, its Predecessors, and its Affiliates",8,9
353,765,2,ITEM 2. Business Experience,11,12
354,765,3,ITEM 3. Litigation,12,12
355,765,4,ITEM 4. Bankruptcy,12,12
356,765,5,ITEM 5. Initial Franchise Fee,13,15
357,765,6,ITEM 6. Other Fees,16,18
358,765,7,ITEM 7. Initial Investment,21,24
359,765,8,ITEM 8. Restrictions On Sources Of Products And Services,24,27
360,765,9,ITEM 9. Franchisee's Obligations,27,28
361,765,10,ITEM 10. Financing,29,35
362,765,11,ITEM 11. Franchisor's Obligations,35,43
363,765,12,ITEM 12. Territory,43,45
364,765,13,ITEM 13. Trademarks,45,47
365,765,14,"ITEM 14. Patents, Copyrights and Proprietary Information",47,47
366,765,15,ITEM 15. Obligation To Participate In The Actual Operation Of The Franchise Business,48,48
367,765,16,ITEM 16. Restrictions On What The Franchisee May Sell,48,49
368,765,17,"ITEM 17. Renewal, Termination, Transfer And Dispute Resolution",49,53
369,765,18,ITEM 18. Public Figures,53,53
370,765,19,ITEM 19. Financial Performance Representations,53,62
371,765,20,ITEM 20. List Of Outlets,62,67
372,765,21,ITEM 21. Financial Statements,68,68
373,765,22,ITEM 22. Contracts,68,68
374,765,23,ITEM 23. Receipt,68,68
375,1206,1,"ITEM 1. The Franchisor, its Predecessors, and its Affiliates",6,8
376,1206,2,ITEM 2. Business Experience,9,11
377,1206,3,ITEM 3. Litigation,12,12
378,1206,4,ITEM 4. Bankruptcy,12,12
379,1206,5,ITEM 5. Initial Franchise Fee,13,13
380,1206,6,ITEM 6. Other Fees,14,19
381,1206,7,ITEM 7. Initial Investment,20,23
382,1206,8,ITEM 8. Restrictions On Sources Of Products And Services,24,26
383,1206,9,ITEM 9. Franchisee's Obligations,27,28
384,1206,10,ITEM 10. Financing,29,30
385,1206,11,ITEM 11. Franchisor's Obligations,31,38
386,1206,12,ITEM 12. Territory,39,39
387,1206,13,ITEM 13. Trademarks,40,40
388,1206,14,"ITEM 14. Patents, Copyrights and Proprietary Information",41,41
389,1206,15,ITEM 15. Obligation To Participate In The Actual Operation Of The Franchise Business,41,41
390,1206,16,ITEM 16. Restrictions On What The Franchisee May Sell,41,41
391,1206,17,"ITEM 17. Renewal, Termination, Transfer And Dispute Resolution",42,45
392,1206,18,ITEM 18. Public Figures,46,46
393,1206,19,ITEM 19. Financial Performance Representations,47,51
394,1206,20,ITEM 20. List Of Outlets,52,64
395,1206,21,ITEM 21. Financial Statements,65,65
396,1206,22,ITEM 22. Contracts,65,65
397,1206,23,ITEM 23. Receipt,65,65
398,996,1,"ITEM 1. The Franchisor, its Predecessors, and its Affiliates",5,7
399,996,2,ITEM 2. Business Experience,8,8
400,996,3,ITEM 3. Litigation,9,9
401,996,4,ITEM 4. Bankruptcy,9,9
402,996,5,ITEM 5. Initial Franchise Fee,9,11
403,996,6,ITEM 6. Other Fees,11,14
404,996,7,ITEM 7. Initial Investment,14,20
405,996,8,ITEM 8. Restrictions On Sources Of Products And Services,20,23
406,996,9,ITEM 9. Franchiseeâs Obligations,23,24
407,996,10,ITEM 10. Financing,24,24
408,996,11,"ITEM 11. Franchisorâs Assistance, Advertising, Computer Systems, and Training",24,35
409,996,12,ITEM 12. Territory,35,38
410,996,13,ITEM 13. Trademarks,38,39
411,996,14,"ITEM 14. Patents, Copyrights and Proprietary Information",39,41
412,996,15,ITEM 15. Obligation To Participate In The Actual Operation Of The Franchise Business,41,42
413,996,16,ITEM 16. Restrictions On What The Franchisee May Sell,42,42
414,996,17,"ITEM 17. Renewal, Termination, Transfer And Dispute Resolution",43,46
415,996,18,ITEM 18. Public Figures,46,46
416,996,19,ITEM 19. Financial Performance Representations,46,51
417,996,20,ITEM 20. List Of Outlets,52,54
418,996,21,ITEM 21. Financial Statements,54,54
419,996,22,ITEM 22. Contracts,55,55
420,996,23,ITEM 23. Receipt,55,55
421,576,1,"ITEM 1. The Franchisor, its Predecessors, and its Affiliates",8,10
422,576,2,ITEM 2. Business Experience,10,11
423,576,3,ITEM 3. Litigation,11,11
424,576,4,ITEM 4. Bankruptcy,11,11
425,576,5,ITEM 5. Initial Franchise Fee,12,12
426,576,6,ITEM 6. Other Fees,12,13
427,576,7,ITEM 7. Initial Investment,13,15
428,576,8,ITEM 8. Restrictions On Sources Of Products And Services,15,16
429,576,9,ITEM 9. Franchisee's Obligations,16,17
430,576,10,ITEM 10. Financing,17,17
431,576,11,"ITEM 11. Franchisor's Assistance, Advertising, Computer Systems And Training",18,24
432,576,12,ITEM 12. Territory,24,24
433,576,13,ITEM 13. Trademarks,24,25
434,576,14,"ITEM 14. Patents, Copyrights and Proprietary Information",26,28
435,576,15,ITEM 15. Obligation To Participate In The Actual Operation Of The Franchise Business,28,29
436,576,16,ITEM 16. Restrictions On What The Franchisee May Sell,29,29
437,576,17,"ITEM 17. Renewal, Termination, Transfer And Dispute Resolution",29,35
438,576,18,ITEM 18. Public Figures,35,35
439,576,19,ITEM 19. Financial Performance Representations,35,35
440,576,20,ITEM 20. List Of Outlets,36,44
441,576,21,ITEM 21. Financial Statements,44,44
442,576,22,ITEM 22. Contracts,44,44
443,576,23,ITEM 23. Receipt,44,44
444,465,1,"ITEM 1. The Franchisor, its Predecessors, and its Affiliates",8,9
445,465,2,ITEM 2. Business Experience,10,11
446,465,3,ITEM 3. Litigation,12,12
447,465,4,ITEM 4. Bankruptcy,12,12
448,465,5,ITEM 5. Initial Franchise Fee,12,13
449,465,6,ITEM 6. Other Fees,14,20
450,465,7,ITEM 7. Initial Investment,21,27
451,465,8,ITEM 8. Restrictions On Sources Of Products And Services,28,29
452,465,9,ITEM 9. Franchisee's Obligations,29,30
453,465,10,ITEM 10. Financing,30,30
454,465,11,ITEM 11. Franchisor's Obligations,31,36
455,465,12,ITEM 12. Territory,37,39
456,465,13,ITEM 13. Trademarks,39,40
457,465,14,"ITEM 14. Patents, Copyrights and Proprietary Information",40,41
458,465,15,ITEM 15. Obligation To Participate In The Actual Operation Of The Franchise Business,41,41
459,465,16,ITEM 16. Restrictions On What The Franchisee May Sell,41,42
460,465,17,"ITEM 17. Renewal, Termination, Transfer And Dispute Resolution",42,47
461,465,18,ITEM 18. Public Figures,47,47
462,465,19,ITEM 19. Financial Performance Representations,48,50
463,465,20,ITEM 20. List Of Outlets,51,52
464,465,21,ITEM 21. Financial Statements,53,53
465,465,23,ITEM 23. Receipt,53,53
