exhibit_id,fdd_id,identified_exhibit_letter,identified_title,start_page,end_page
48,1141,C-3,INCENTIVE ADDENDA TO THE FRANCHISE AGREEMENTS,233,238
49,1141,C-4,MULTI-BRAND ADDENDUM TO THE FRANCHISE AGREEMENT,244,249
50,1141,D-1,DUNKINâ STORE DEVELOPMENT AGREEMENT,251,261
51,1141,D-2,COMBO STORE DEVELOPMENT AGREEMENT,268,284
52,1141,D-3,INCENTIVE ADDENDA TO THE STORE DEVELOPMENT AGREEMENTS,285,291
53,1141,D-4,CONDITIONAL OPTION(S) TO EXTEND,298,300
54,1141,E,STATE-SPECIFIC APPENDICES AND AGREEMENT RIDERS,301,325
55,1141,F,OPTION TO ASSUME LEASE,326,328
56,1141,I,FORM OF GENERAL RELEASE,505,509
57,1141,J,LOYALTY PROGRAM PARTICIPATION AGREEMENT,510,515
58,1141,K,ELECTRONIC PAYMENT PROGRAM PARTICIPATION AGREEMENT,516,522
59,1141,L,STATE EFFECTIVE DATES PAGE,523,524
60,1141,M,RECEIPTS,525,527
61,249,G,List of Franchisees,78,309
62,540,E,Franchise Lists,4,4
63,817,D,List of Current Franchisees,68,68
64,600,G,LIST OF FRANCHISEES,64,64
65,600,A,LIST OF STATE ADMINISTRATORS,6,6
66,600,B,LIST OF AGENTS FOR SERVICE OF PROCESS,6,6
67,600,C,TABLE OF CONTENTS OF OPERATIONS MANUAL,6,6
68,600,D,FINANCIAL STATEMENTS,6,6
69,600,E,FRANCHISE AGREEMENT,6,6
70,600,F,MULTI-UNIT DEVELOPMENT AGREEMENT,6,6
71,600,H,LIST OF FRANCHISEES WHO HAVE LEFT THE SYSTEM,6,6
72,600,I,STATE SPECIFIC ADDENDA,6,6
73,600,J,STATE EFFECTIVE DATES,6,6
74,600,K,RECEIPTS,6,6
75,513,I,Conversion Addendum,133,136
76,765,D,List of Franchisees,144,151
77,1206,A,List of State Administrators and Registered Agents,73,75
78,1206,B,List of Current Sport Clips Franchisees and Area Developers,76,167
79,1206,C,Financial Statements,173,204
80,1206,D,Sport Clips Franchise Agreement,205,261
81,1206,E,Agreement to Guaranty Lease,262,265
82,1206,F,Agreement to Guaranty Loan,266,269
83,1206,G,Resale Assistance Agreement,270,272
84,996,J,List of Current Franchisees and Affiliate-Owned Locations,160,163
85,576,A,Bandag Dealer Franchise Agreement,45,72
86,576,B,"Audited Financial Statements of Bridgestone Bandag Franchising, LLC Guaranty of Performance of Bridgestone Bandag Franchising, LLC",73,84
87,576,C,Security Agreement,101,114
88,576,C-1,Individual Guaranty,115,122
89,576,C-2,Entity Guaranty,123,133
90,576,D,BASys Product Program Request Form and Master Purchase Agreement for BASys Suite of Products,134,147
91,576,E,National Account Program Description,158,159
92,576,F,Dealer Subcontract,160,178
93,576,G,Smart Resource Program Policy,179,190
94,576,H,List of Current Franchised and Bandag-Owned Dealerships and List of Former Franchisees,191,208
95,1096,G,CURRENT AND FORMER FRANCHISEES,151,156
96,140,E,List of Franchisees.,144,179
97,576,I,List of Agents for Service of Process and State Franchise Law Administrators,209,212
98,576,J,State Addenda to Franchise Disclosure Document and Dealer Franchise Agreement,213,246
99,465,F,Outlets as of the date of this Disclosure Document,150,151
100,482,H,Lists of Franchisees,197,198
101,310,K-1,List of Current Franchisees and Multi-Unit Owners,209,217
102,310,A,Franchise Agreement,69,117
103,310,B,Multi-Unit Agreement,132,143
104,310,C-1,System Protection Agreement,149,153
105,310,C-2,Confidentiality Agreement,154,157
106,310,D-1,Collateral Assignment of Lease,158,161
107,310,D-2,Option and Center Lease,162,179
108,310,D-3,Deferred Maintenance Agreement,180,182
109,310,E,Automated Clearing House Payment Authorization Form,183,184
110,310,F-1,Incentive Program Addendum,185,187
111,310,F-2,Conversion Addendum,188,191
112,310,G,Statement of Prospective Franchisee,192,195
113,310,H,Renewal Addendum,198,203
114,310,I,Form of General Release Agreement,204,206
115,310,J,Brand Standards Manual Table of Contents,207,208
116,310,K-2,List of Former Franchisees and Multi-Unit Owners,219,220
117,310,L,Financial Statements,221,292
118,310,M,List of State Administrators and Agents for Service of Process,293,296
119,310,N,State Addenda,297,306
120,310,O,Receipts,307,309
121,1348,F,LIST OF AZAL COFFEE FRANCHISEES,168,168
122,952,E-1,LIST OF FRANCHISEES,121,121
123,952,E-2,LIST OF FORMER FRANCHISEES,122,122
124,322,G-1,LIST OF CURRENT FRANCHISEES,218,225
125,322,G-2,LIST OF FORMER FRANCHISEES,230,231
126,322,I,STATE ADDENDA TO THE DISCLOSURE DOCUMENT,233,247
127,838,H,List of Current and Former Franchisees,155,157
128,838,A,Financial Statements,54,66
129,838,B,Standard Franchise Agreement and Schedules,67,136
130,838,C,Phone Number Acknowledgment and Conditional Assignment,137,137
131,838,D,EFT Authorization,138,138
132,838,E,Multi-State Addendum to the FDD and Franchise Agreement,139,146
133,838,F,List of State Agents for Service of Process and State Administrators,148,151
134,838,G,SBA Addendum,152,154
135,838,I,Medical Director Agreements,158,195
136,838,J,Confirmation of Additional Terms and Representations,196,198
137,838,K,State Effective Dates,199,199
138,1160,E,Roster of Current and Former Franchisees,150,154
139,1040,F,LIST OF FRANCHISEES WHO HAVE LEFT THE SYSTEM,181,181
140,371,G,LIST OF FRANCHISEES,6,6
141,371,H,LIST OF FRANCHISEES WHO HAVE LEFT THE SYSTEM,6,6
142,371,I,STATE SPECIFIC ADDENDA,6,6
143,491,A,Financial Statement,16,20
144,491,B,List of State Administrators and Agents for Service of Process,21,24
145,491,C,RECEIPT,25,26
146,491,D,Franchise Agreement,27,70
147,416,C,Schedule of Franchisees,44,44
148,450,A,List of State Agencies,62,63
149,450,B,List of Agents for Service of Process,64,65
150,450,C,Franchise Agreement,66,110
151,450,D,Area Development Agreement,121,142
152,450,E,Financial Statements,145,179
153,450,F,Table of Contents of the Confidential Operations Manual,180,185
154,450,G,List of Franchisees and Franchises that have Left the System,186,193
155,450,H,General Release Language,194,195
156,450,I,State Addenda and Agreement Riders,196,220
157,450,J,Pre-Closing Questionnaire,221,224
158,450,K,State Effective Dates,225,225
159,450,L,Receipts,226,228
160,846,D,List of Franchisees and Multi-Unit Operators,300,305
161,181,F,LIST OF FRANCHISEES,169,169
162,181,A,LIST OF STATE ADMINISTRATORS,51,52
163,181,B,LIST OF AGENTS FOR SERVICE OF PROCESS,54,54
164,181,C,TABLE OF CONTENTS OF OPERATIONS MANUAL,56,56
165,181,D,FINANCIAL STATEMENTS,58,63
166,181,E,FRANCHISE AGREEMENT,65,134
167,181,G,LIST OF FRANCHISEES WHO HAVE LEFT THE SYSTEM,170,170
168,181,H,STATE SPECIFIC ADDENDA,172,184
169,181,I,STATE EFFECTIVE DATES,201,201
170,181,J,RECEIPTS,203,204
171,544,G,List of Current Strategic-Partners,140,149
172,544,A,Franchise Agreement,67,113
173,544,B,Electronic Funds Transfer Authorization,115,116
174,544,C,Assignment and Assumption Agreement,117,124
175,544,D,Extranet Agreement,125,133
176,544,E,List of State Agencies/Agents for Service of Process,134,137
177,544,F,Operating Manual Table of Contents,138,139
178,544,H,List of Former Strategic-Partners,151,153
179,544,I,Financial Statements,7,7
180,544,J,State Addenda and Agreement Riders,215,245
181,336,F,List of Franchisees,108,122
182,422,E,List of Franchisees,128,130
183,223,E,CURRENT FRANCHISEES,112,117
184,223,F,FORMER FRANCHISEES (For the Fiscal Year Ending 12/31/2023),118,119
185,141,K,List of Franchisees and Franchisee that have Left the System in the Past Fiscal Year,249,253
186,383,F,List of Franchisees,166,173
187,704,B,List of Franchised Outlets,55,55
188,1017,E,List of Franchisees and Certain Former Franchisees,41,48
189,1017,A,State Administrators and Agents for Service of Process,4,4
190,1017,A,State Administrators and Agents for Service of Process,55,56
191,1017,A,AGENTS FOR SERVICE OF PROCESS,56,57
192,1017,B,State Amendments to Franchise Disclosure Document and Franchise License Agreeme,4,4
193,1017,B,State Amendments to Franchise Disclosure Document and Franchise License Agreeme,59,60
194,1017,B,State Amendments to Franchise Disclosure Document and Franchise License Agreeme,61,62
195,1017,B,State Amendments to Franchise Disclosure Document and Franchise License Agreement,63,63
196,1017,B,State Amendments to Franchise Disclosure Document and Franchise License Agreement,64,65
197,1017,B,State Amendments to Franchise Disclosure Document and Franchise License Agreement,66,66
198,1017,B,State Amendments to Franchise Disclosure Document and Franchise License Agreement,67,68
199,1017,B,State Amendments to Franchise Disclosure Document and Franchise License Agreement,69,70
200,1017,B,State Amendments to Franchise Disclosure Document and Franchise License Agreement,71,72
201,1017,B,State Amendments to Franchise Disclosure Document and Franchise License Agreement,73,74
202,1017,B,State Amendments to Franchise Disclosure Document and Franchise License Agreement,75,76
203,1017,B,State Amendments to Franchise Disclosure Document and Franchise License Agreement,77,77
204,1017,B,State Amendments to Franchise Disclosure Document and Franchise License Agreement,78,78
205,1017,B,State Amendments to Franchise Disclosure Document and Franchise License Agreement,79,80
206,1017,B,State Amendments to Franchise Disclosure Document and Franchise License Agreement,81,81
207,1017,B,State Amendments to Franchise Disclosure Document and Franchise License Agreement,82,82
208,1017,B,State Amendments to Franchise Disclosure Document and Franchise License Agreement,83,83
209,1017,B,State Amendments to Franchise Disclosure Document and Franchise License Agreement,84,84
210,1017,B,State Amendments to Franchise Disclosure Document and Franchise License Agreement,85,86
211,1017,B,State Amendments to Franchise Disclosure Document and Franchise License Agreement,87,88
212,1017,B,State Amendments to Franchise Disclosure Document and Franchise License Agreement,89,90
213,1017,C,Guarantee of Performance,4,4
214,1017,C,Guarantee of Performance,6,6
215,1017,C,Guarantee of Performance,91,91
216,1017,D,Financial Statements,4,4
217,1017,D,Financial Statements,93,102
218,1017,F-1,Franchise License Agreement,4,4
219,1017,F-1,Franchise License Agreement,7,7
220,1017,F-1,Franchise License Agreement,209,245
221,1017,F-2,Addendum to Franchise License Agreement H&R Block Small Business â Standard,4,4
222,1017,F-2,Addendum to Franchise License Agreement H&R Block Small Business â Standard,248,249
223,1017,F-3,Amendment to Franchise License Agreement Non-H&R Block Business,4,4
224,1017,F-3,Amendment to Franchise License Agreement Non-H&R Block Business,250,251
225,1017,G,Sample Form of General Release,4,4
226,1017,G,Sample Form of General Release,252,253
227,1017,H-1,Term Loan Credit and Security Agreement,4,4
228,1017,H-1,Term Loan Credit and Security Agreement,256,267
229,1017,H-2,Short-Term Loan Credit and Security Agreement,4,4
230,1017,H-2,Short-Term Loan Credit and Security Agreement,269,282
231,1017,I-1,Franchise Electronic Filing and Software Systems Agreement,4,4
232,1017,I-1,Franchise Electronic Filing and Software Systems Agreement,283,291
233,1017,I-2,Peace of Mind Franchise Acknowledgement,4,4
234,1017,I-2,Peace of Mind Franchise Acknowledgement,293,295
235,1017,I-3,Franchise Financial Products Distribution Agreement,4,4
236,1017,I-3,Franchise Financial Products Distribution Agreement,296,327
237,1017,J,Operations Manual Table of Contents,4,4
238,1017,J,Operations Manual Table of Contents,328,330
239,1017,K,Receipts,4,4
240,1017,K,Receipts,331,332
241,156,F,Lists of Franchisees and Developers,6,6
242,1240,B-1,"EXHIBIT B-1LISTING OF ALL CURRENT FRANCHISES AS OF DECEMBER 31, 2023",46,46
243,363,E,Lists of Current and Former Franchisees,147,147
244,1057,F,LIST OF FRANCHISEES,6,6
245,1057,G,LIST OF FRANCHISEES WHO HAVE LEFT THE SYSTEM,6,6
246,896,A,List Of State Franchise Administrators And Agents For Service Of Process,71,72
247,896,B,Franchise Agreement,73,132
248,896,C,Multi-Unit Development Agreement,133,172
249,896,D,"Financial Statements of WOOPS! Franchise, LLC",173,189
250,896,E,Operations Manual Table of Contents,190,201
251,896,F,"OUTLETS AS OF December 31, 2023",212,214
252,896,G,Woops! Acknowledgment Statement,215,217
253,896,H,General Release,219,220
254,896,I,State Addenda,221,257
255,896,J,Receipt,258,259
256,292,D,List of Franchisees,119,119
257,292,E,LIST OF FORMER FRANCHISEES,120,120
258,655,G,Information on Franchisees,142,144
259,724,C1,"MRI Outlets as of December 31, 2023",186,193
260,724,C2,"Former MRI Outlets for the period January 1, 2023 through December 31, 2023",194,197
261,888,A,Financial Statements,54,62
262,555,D,List of Franchisees,129,136
263,706,F,SCHEDULE OF FRANCHISEES,53,58
264,1036,H,List of Franchisees,176,186
265,1036,I,List of Franchisees Who Have Left the System,187,188
266,551,F,CURRENT FRANCHISEES AND FORMER FRANCHISEES,155,158
267,1274,F,List of Franchisees and Area Developers.,74,74
268,1249,J,"Franchisees as of December 31, 2023",7,7
269,1103,F,Names and Addresses of Franchisees,137,141
270,1008,E,List of Current and Former Licensees,158,162
271,289,D,LIST OF FRANCHISEES THAT LEFT THESYSTEM,104,105
272,203,H,LIST OF AUTO SELECT SERVICE CENTERS,35,35
273,1296,C,List of Franchises,47,48
274,498,F-1,"LIST OF DISTRIBUTORS AS OF DECEMBER 31, 2023",151,154
275,1221,F,Current and Former Franchisees.,106,106
276,252,D,LIST OF CURRENT AND FORMER FRANCHISEES,127,129
277,1177,F,LIST OF FRANCHISEES,177,179
278,476,A,List of State Administrators and Agents for Service of Process,45,46
279,476,B,Financial Statements,47,50
280,476,C,Franchise Agreement,51,101
281,476,D,List of Current and Former Franchisees,110,111
282,476,E,Franchise Operations Manual Table of Contents,112,114
283,476,F,State Addenda and Agreement Riders,115,132
284,476,G,Contracts for use with the Speedy Freight Franchise,133,149
285,476,H,Franchise Disclosure Questionnaire,150,152
286,476,I,State Effective Dates,153,154
287,476,J,Receipt,155,157
288,204,D,Franchisee List,49,55
289,204,E,Franchisees Who Have Left the System,55,56
290,1312,F,LIST OF FRANCHISEES,6,128
291,187,D,List of Current Franchisees and List of Franchisees That Left the System,75,296
292,842,J,List of Existing Franchisees and Franchisees How Have Left the System,59,84
293,1234,E,List of Franchisees,4,4
294,810,H,List of Franchisees,6,6
295,402,A,LIST OF FRANCHISEES,4,4
296,402,H,FRANCHISEES WHO HAVE LEFT THE SYSTEM,4,4
297,628,A,Franchise Agreement,42,82
298,628,B,Financial Statements,95,120
299,628,C,List of Current and Former Franchisees.,121,122
300,628,D,List of State Administrators and Agents for Service of Process,123,125
301,628,E,State Addenda and Agreement Riders,126,141
302,628,F,Contracts for use with the Xtension Envy Franchise.,142,157
303,628,G,State Effective Dates,158,159
304,628,H,Receipts,160,162
305,1255,C,"LIST OF CURRENT AND FORMER FRANCHISEES, COMPANY-OWNEDSOUTHERN STEER BUSINESSES AND FRANCHISE AGREEMENTS SIGNED BUTNOT OPENED",4,4
306,1250,G,List of Franchisees,145,150
307,272,D,List of Franchisees and Developers,187,189
308,849,D,List of Current and Former Franchisees,161,179
309,1097,A,LIST OF STATE AGENCIES/AGENTS FOR SERVICE OF PROCESS,110,113
310,1097,B,FRANCHISE AGREEMENT,114,196
311,1097,B-1,INCENTIVE AMENDMENT TO THE FRANCHISE AGREEMENT,197,202
312,1097,B-2,NON-TRADITIONAL RIDER TO THE FRANCHISE AGREEMENT,204,207
313,1097,B-3,MULTI-BRAND ADDENDUM TO THE FRANCHISE AGREEMENT,208,214
314,1097,B-4,SUCCESSOR FRANCHISE RIDER TO FRANCHISE AGREEMENT,215,221
315,1097,B-5,FORM OF LEASE ADDENDUM,222,223
316,1097,C,DEVELOPMENT RIGHTS AGREEMENT,224,233
317,1097,C-1,INCENTIVE AMENDMENT TO THE DEVELOPMENT RIGHTS AGREEMENT,235,240
318,1097,D,LISTS OF JIMMY JOHNâSÂ® RESTAURANTS AND DEPARTING FRANCHISEES,241,306
319,1097,E,PRINCIPALâS AGREEMENT,307,310
320,1097,F,FINANCIAL STATEMENTS,311,325
321,1097,G,STATE ADDENDA AND FRANCHISE AGREEMENT RIDERS,326,343
322,206,F,List of Current and Former Franchisees,84,112
323,695,G,List of Franchisees,6,6
324,695,G,List of Franchisees,189,198
325,464,G,"OUTLETS AS OF DECEMBER 31, 2023",127,129
326,500,A,Financial Statements,43,56
327,500,B,Franchise Agreement,57,82
328,500,C,List of State Administrators and Agents for Service of Process,94,95
329,500,D,List of Current Franchisees,96,99
330,500,E,List of Current Company-owned Outlets,100,100
331,500,F,List of Franchisees who have Left the System within the Past 12 Months,101,101
332,500,G,State Specific Addendum to Disclosure Document,102,116
333,500,H,Tippi Toes Acknowledgement Statement,117,120
334,1047,C,List of Current and Former Franchisees,123,125
335,228,I,INFORMATION ABOUT CURRENT AREA REPRESENTATIVES,321,344
336,1115,F,Current and Former Franchisees,123,125
337,717,H,List of Franchisees,229,231
338,717,I-1,"FRANCHISEES WHO HAVE LEFT THE SYSTEM AS OF DECEMBER 31, 2023",233,233
339,929,E-1,"List of Facilities in the United States as of December 31, 2023",438,444
340,929,E-2,"AMERICINN INTERNATIONAL, LLC GUEST LODGING FACILITIES WHICH VOLUNTARILY OR INVOLUNTARILY LEFT THE CHAIN FROM 01/01/2023 TO 12/31/2023",448,448
341,929,E-2,"AMERICINN INTERNATIONAL, LLC. GUEST LODGING FACILITIES WHICH DID NOT COMMUNICATE WITH THE FRANCHISOR WITHIN 10 WEEKS OF THE DISCLOSURE DOCUMENT ISSUANCE DATE",449,449
342,558,G,Pre-Training Confidentiality Agreement,235,239
343,558,J,List of Current Franchisees,258,263
344,558,K,List of Franchisees Who Have Left the System,264,265
345,147,E,List of Franchisees and Former Franchisees,134,137
346,1311,I,"LIST OF CURRENT FRANCHISEES AND, IF APPROPRIATE, THEIR OUTLETS",187,190
347,622,H,List of Franchisees,187,194
348,938,G,List of Franchisees,201,202
349,1164,C,Schedule of Franchisees,172,173
350,1273,F,List of Former Franchisees,145,146
351,529,1,List of State Administrators and Agent for Service of Process,84,86
352,529,2,Development Agreement,87,126
353,529,3,Franchise Agreement,145,230
354,529,4,Audited Financial Statements,232,254
355,529,5,Franchisee and Franchisee Termination Lists,256,280
356,529,6,Form Confidentiality Agreement,281,285
357,529,7,Form Franchise Renewal Addendum,286,290
358,529,8,Form SBA Addendum,291,293
359,529,9,Form of General Release,294,297
360,529,10,Form Assignment and Consent Agreement,298,304
361,529,11,Manual Table of Contents,305,306
362,529,12,State Effective Dates,307,308
363,529,13,Receipts,309,311
364,509,C,List of Stores,44,46
365,509,I,Table of Contents of Operations Manual,4,4
366,509,A,State Addenda to Franchise Disclosure Document,36,39
367,509,B,STATE FRANCHISE ADMINISTRATORS AND REGISTERED AGENTS FOR SERVICE OF PROCESS,40,43
368,509,D,FINANCIAL STATEMENTS,47,64
369,1270,F,Financial Statements,5,5
370,509,E,"FRANCHISE AGREEMENT, GUARANTY AND GENERAL RELEASE",81,121
371,509,F,RENEWAL ADDENDUM,122,124
372,509,G,TRANSFER FORMS,125,128
373,509,H,SIGN LEASE,129,135
374,580,E,FRANCHISEE ROSTER,48,53
375,802,D-1,LIST OF CURRENT FRANCHISEES,77,88
376,802,A,LIST OF STATE ADMINISTRATORS AND AGENTS FOR SERVICE OF PROCESS,44,46
377,802,B,"HOSPITALITY INTERNATIONAL, INC. FINANCIAL STATEMENTS",47,71
378,802,C,"HOSPITALITY INTERNATIONAL, INC.FRANCHISE QUESTIONNAIRE",74,76
379,802,D-2,"The name and last known home address and telephone number of every franchisee who has had an outlet terminated, cancelled, not renewed, or otherwise voluntarily or involuntarily ceased to do business under the franchise agreement during the most recently completed fiscal year or who has not. communicated with the Franchisor within 10 weeks of the application date.",89,89
380,802,E,GUARANTY OF FRANCHISEE'S UNDERTAKINGS,90,93
381,802,F-1,"HOSPITALITY INTERNATIONAL, INC. FRANCHISE AGREEMENT",94,117
382,802,F-2,SPECIAL STIPULATIONS TO FRANCHISE AGREEMENTS,119,137
383,802,F-3,ACH AUTHORIZATION FORM,138,138
384,802,G,AUDITOR'S CONSENT,139,140
385,802,H,STATE ADDENDUM,141,156
386,802,I,"HOSPITALITY INTERNATIONAL, INC. APPLICATION AGREEMENT",157,158
387,802,J,"HOSPITALITY INTERNATIONAL, INC.",159,160
388,802,K,ASSIGNMENT OF A FRANCHISE AGREEMENT,161,162
389,802,L,OPERATIONS MANUAL TABLE OF CONTENTS,163,163
390,802,M,RECEIPT,165,168
391,248,9,"FranchiseesÂ asÂ ofÂ JuneÂ 30,Â 2023",6,6
392,248,10,"FranchiseesÂ WhoÂ ExitedÂ anÂ OutletÂ DuringÂ FiscalÂ YearÂ EndingÂ JuneÂ 30,Â 2023",6,6
393,316,D,LIST OF MASTER & INDIVIDUAL FRANCHISED BUSINESSES,188,189
394,316,A,FEDERAL AND STATE AGENCIES/AGENTS FOR SERVICE OF PROCESS,45,46
395,316,B,"MASTER FRANCHISE AGREEMENT, ATTACHMENTS 1-6",47,107
396,316,B-1,"INDIVIDUAL FRANCHISE AGREEMENT TEMPLATE, SCHEDULES A-G",108,152
397,316,C,FINANCIAL STATEMENTS,153,187
398,316,E,TABLE OF CONTENTS OF MASTER FRANCHISE OPERATIONS MANUAL,190,198
399,316,F,STATE AMENDMENTS TO THE FRANCHISE DISCLOSURE DOCUMENT,199,209
400,316,G,STATE ADDENDUMS TO M ASTER FRANCHISE AGREEMENT,210,212
401,316,H,STATE EFFECTIVE DATES,213,213
402,316,I,RECEIPT,214,215
403,247,A,List of State Administrators and Agents for Service of Process,56,56
404,247,B,Financial Statements,57,69
405,247,C,Franchise Agreement,70,121
406,247,D,List of Current and Former Franchiseesr,135,139
407,247,E,Confidential Operating Manual Table of Contents,140,145
408,247,F,State Addenda and Agreement Riders,148,165
409,247,G,Contracts for use with the Snip-its Salon Franchise,166,187
410,247,H,Franchise Disclosure Questionnaire,188,190
411,247,I,State Effective Dates,191,192
412,247,J,Receipt,193,195
413,1292,F,Franchised Outlets,166,166
414,1203,4,List of Current and Former Franchisees,122,124
415,975,G,Current and Former Franchisees,177,180
416,442,D1,List of Franchisees,243,252
417,1024,G,LIST OF FRANCHISEES AND THEIR OUTLETS,4,59
418,565,G,LIST OF FRANCHISEES AND THEIR OUTLETS,4,59
419,779,G,"Franchisees as of December 31, 2023",164,174
420,1266,4,LIST OF FRANCHISEES AND FORMER FRANCHISEES,115,115
421,202,H,"Franchised Outlets as of December31, 2023",4,4
422,447,D,LIST OF CURRENT AND FORMER FRANCHISEES,58,214
423,754,D,List of Franchisees,86,214
424,754,E,LIST OF FRANCHISEES WHO HAVE LEFT THE SYSTEM,215,216
425,1174,F,LISTS OF CURRENT AND FORMER FRANCHISEES,7,7
426,584,G,List of Franchisees,163,170
427,584,H,Franchisees Who Have Left the System,171,173
428,584,I,Financial Statements,174,197
429,584,J,List of State Agencies/Agents for Service of Process,198,202
430,584,K,State Addenda to Disclosure Document,203,210
431,443,G,List of Franchisees,53,53
432,871,D,List of Franchisees and Franchisees Who Have Left the System,52,52
433,871,I,Franchisee Acknowledgment Statement,203,206
434,1229,C,List of Current and Former Franchisees,72,73
435,1213,F,Current and Former Franchisees,149,151
436,773,A,EXHIBIT A â FINANCIAL STATEMENTS AND GUARANTY,37,50
437,773,B,EXHIBIT B â LIST OF STATE ADMINISTRATORS AND AGENTS FOR SERVICE OF PROCESS,51,51
438,773,C,EXHIBIT C â LIST OF FRANCHISEES,52,52
439,773,D,EXHIBIT D â LIST OF TERMINATED FRANCHISEES,53,53
440,773,E,EXHIBIT E â FRANCHISE AGREEMENT (FA),54,90
441,773,F,EXHIBIT F â TERRITORY DEVELOPMENT AGREEMENT (TDA),91,96
442,773,G,EXHIBIT G â TABLE OF CONTENTS OF OPERATIONS MANUAL,97,101
443,773,H,EXHIBIT H â FRANCHISEEâS DISCLOSURE QUESTIONNAIRE,102,103
444,773,I,EXHIBIT I â STATE ADDENDA,104,112
445,1068,E,FLOYDâS 99 Franchised Barbershop Locations,139,143
446,1262,A,List of Agents to Receive Service of Process,67,71
447,1262,B,List of Franchises,72,75
448,407,A,"Franchise Agreement, State Specific Addendum and Schedules",71,145
449,407,B,Financial Statements,150,166
450,407,C,List of Franchisees,186,222
451,407,D,List of Terminated or Transferred Franchises,223,224
452,407,E,State Franchise Administrators and Agents for Service of Process,227,228
453,407,F,Confidential Operating Manual Table of Contents,229,230
454,407,G,Consent to Transfer and Assumption of Franchise Agreement,231,236
455,407,H,Veteransâ Addendum to Franchise Agreement,237,239
456,407,I,Existing Franchiseesâ Addendum to Renewal Franchise Agreement,240,243
457,407,J,Secured Promissory Note,244,246
458,407,K,General Security Agreement,247,267
459,407,L,Master Services Agreement,268,276
460,407,M,State Effective Dates,277,277
461,407,N,Receipts,278,280
462,200,F,LIST OF FRANCHISEES,203,203
463,200,G,LIST OF FRANCHISEES sWhoHaveLefttheSystem,206,206
464,200,A,LIST OF STATE ADMINISTRATORS,62,63
465,200,B,LIST OF AGENTS FOR SERVICE OF PROCESS,65,65
466,200,C,Scoop Soldiers Franchise Operations Manual,67,70
467,200,D,FINANCIAL STATEMENTS,74,81
468,200,E,FRANCHISE AGREEMENT,98,164
